date,FPOA,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Rahu
2022-02-15,33.730671,0.000000,160.259123,333.810979,319.712880,319.431721,14.229245,350.891219,74.873840,25.625027,331.114528,90.337908
2022-02-16,32.720869,0.000000,171.748851,333.743653,319.258281,319.159436,13.457905,350.000273,73.887845,24.650261,330.134296,89.275053
2022-02-17,31.711497,0.000000,183.471117,333.724493,318.827518,318.888106,12.687366,349.109536,72.903061,23.676131,329.154237,88.212609
2022-02-18,30.702546,0.000000,195.416552,333.749879,318.419697,318.617725,11.917588,348.218980,71.919471,22.702622,328.174350,87.150584
2022-02-19,29.694004,0.000000,207.566138,333.816573,318.033945,318.348284,11.148547,347.328578,70.937061,21.729715,327.194637,86.088984
2022-02-20,28.685854,0.000000,219.897937,333.921693,317.669416,318.079773,10.380207,346.438304,69.955813,20.757391,326.215083,85.027817
2022-02-21,27.678082,0.000000,232.393472,334.062671,317.325282,317.812183,9.612545,345.548129,68.975714,19.785635,325.235656,83.967088
2022-02-22,26.670672,0.000000,245.041924,334.237228,317.000743,317.545502,8.845528,344.658029,67.996749,18.814431,324.256327,82.906805
2022-02-23,25.663615,0.000000,257.840694,334.443347,316.695018,317.279720,8.079140,343.767982,67.018909,17.843768,323.277079,81.846973
2022-02-24,24.656909,0.000000,270.791793,334.679242,316.407355,317.014827,7.313367,342.877966,66.042185,16.873637,322.297917,80.787599
2022-02-25,23.650559,0.000000,283.894569,334.943340,316.137025,316.750816,6.548181,341.987968,65.066575,15.904032,321.318856,79.728688
2022-02-26,22.644580,0.000000,297.136376,335.234262,315.883326,316.487682,5.783575,341.097974,64.092079,14.934951,320.339903,78.670248
2022-02-27,21.638992,0.000000,310.483786,335.550799,315.645585,316.225422,5.019530,340.207979,63.118704,13.966399,319.361057,77.612282
2022-02-28,20.633822,0.000000,323.877604,335.891903,315.423159,315.964037,4.256046,339.317980,62.146458,12.998385,318.382308,76.554797
2022-03-01,19.629098,0.000000,337.234581,336.256666,315.215437,315.703532,3.493112,338.427978,61.175356,12.030922,317.403660,75.497798
2022-03-02,18.624847,0.000000,350.456889,336.644310,315.021841,315.443913,2.730737,337.537977,60.205413,11.064024,316.425137,74.441291
2022-03-03,17.621091,0.000000,3.447377,337.054173,314.841824,315.185192,1.968927,336.647982,59.236645,10.097706,315.446775,73.385280
2022-03-04,16.617847,0.000000,16.125992,337.485701,314.674871,314.927378,1.207671,335.757996,58.269068,9.131984,314.468605,72.329770
2022-03-05,15.615133,0.000000,28.442384,337.938433,314.520499,314.670483,0.446948,334.868022,57.302695,8.166870,313.490643,71.274766
2022-03-06,14.612960,0.000000,40.381697,338.411994,314.378249,314.414518,359.686706,333.978062,56.337536,7.202377,312.512885,70.220272
2022-03-07,13.611342,0.000000,51.963622,338.906088,314.247689,314.159492,358.927057,333.088112,55.373600,6.238513,311.535326,69.166293
2022-03-08,12.610291,0.000000,63.236809,339.420490,314.128408,313.905412,358.167962,332.198167,54.410888,5.275283,310.557976,68.112833
2022-03-09,11.609816,0.000000,74.271244,339.955036,314.020015,313.652286,357.409387,331.308219,53.449402,4.312689,309.580853,67.059896
2022-03-10,10.609928,0.000000,85.150499,340.509624,313.922136,313.400117,356.651320,330.418258,52.489139,3.350728,308.603979,66.007486
2022-03-11,9.610635,0.000000,95.964772,341.084202,313.834416,313.148908,355.893741,329.528271,51.530095,2.389400,307.627358,64.955606
2022-03-12,8.611945,0.000000,106.804820,341.678767,313.756513,312.898660,355.136635,328.638245,50.572263,1.428699,306.650976,63.904260
2022-03-13,7.613862,0.000000,117.756490,342.293360,313.688100,312.649372,354.379975,327.748163,49.615632,0.468589,305.674810,62.853452
2022-03-14,6.616388,0.000000,128.895481,342.928059,313.628865,312.401043,353.623750,326.858007,48.660193,359.509020,304.698847,61.803184
2022-03-15,5.619525,0.000000,140.282209,343.582977,313.578507,312.153668,352.867922,325.967759,47.705930,358.550114,303.723090,60.753459
2022-03-16,4.623267,0.000000,151.957087,344.258258,313.536738,311.907241,352.112480,325.077396,46.752828,357.591811,302.747546,59.704281
2022-03-17,3.627606,0.000000,163.937028,344.954067,313.503280,311.661754,351.357397,324.186892,45.800866,356.634068,301.772211,58.655651
2022-03-18,2.632527,0.000000,176.214338,345.670589,313.477862,311.417196,350.602644,323.296222,44.850022,355.676866,300.797064,57.607573
2022-03-19,1.638012,0.000000,188.759033,346.408022,313.460223,311.173551,349.848188,322.405354,43.900273,354.720182,299.822068,56.560048
2022-03-20,0.644036,0.000000,201.524773,347.166571,313.450106,310.930804,349.093988,321.514257,42.951593,353.763994,298.847188,55.513079
2022-03-21,359.650576,0.000000,214.457379,347.946437,313.447260,310.688934,348.340019,320.622899,42.003954,352.808277,297.872408,54.466668
2022-03-22,358.657609,0.000000,227.503677,348.747815,313.451439,310.447921,347.586233,319.731246,41.057333,351.853006,296.897725,53.420816
2022-03-23,357.665120,0.000000,240.618174,349.570876,313.462400,310.207742,346.832608,318.839267,40.111706,350.898161,295.923137,52.375525
2022-03-24,356.673099,0.000000,253.765789,350.415763,313.479909,309.968377,346.079115,317.946934,39.167053,349.943723,294.948628,51.330797
2022-03-25,355.681546,0.000000,266.920317,351.282572,313.503736,309.729805,345.325730,317.054222,38.223358,348.989679,293.974173,50.286632
2022-03-26,354.690468,0.000000,280.059695,352.171337,313.533660,309.492007,344.572426,316.161110,37.280608,348.036018,292.999747,49.243031
2022-03-27,353.699876,0.000000,293.160049,353.082009,313.569468,309.254968,343.819181,315.267581,36.338797,347.082732,292.025347,48.199997
2022-03-28,352.709784,0.000000,306.190762,354.014434,313.610960,309.018675,343.065984,314.373625,35.397921,346.129821,291.050987,47.157528
2022-03-29,351.720207,0.000000,319.112425,354.968324,313.657943,308.783118,342.312809,313.479234,34.457982,345.177288,290.076695,46.115626
2022-03-30,350.731157,0.000000,331.878617,355.943227,313.710238,308.548292,341.559660,312.584403,33.518981,344.225139,289.102488,45.074292
2022-03-31,349.742648,0.000000,344.441223,356.938493,313.767677,308.314192,340.806525,311.689131,32.580925,343.273381,288.128368,44.033525
2022-04-01,348.754688,0.000000,356.757782,357.953229,313.830102,308.080817,340.053408,310.793418,31.643820,342.322025,287.154331,42.993325
2022-04-02,347.767290,0.000000,8.798789,358.986268,313.897367,307.848166,339.300293,309.897263,30.707671,341.371077,286.180381,41.953693
2022-04-03,346.780463,0.000000,20.553119,0.036131,313.969335,307.616241,338.547173,309.000667,29.772483,340.420545,285.206539,40.914627
2022-04-04,345.794220,0.000000,32.030617,1.100939,314.045877,307.385042,337.794042,308.103628,28.838259,339.470436,284.232836,39.876128
2022-04-05,344.808573,0.000000,43.261900,2.178395,314.126871,307.154570,337.040880,307.206141,27.904998,338.520755,283.259296,38.838195
2022-04-06,343.823533,0.000000,54.296079,3.265797,314.212203,306.924824,336.287681,306.308200,26.972699,337.571504,282.285921,37.800827
2022-04-07,342.839110,0.000000,65.197262,4.359950,314.301761,306.695801,335.534430,305.409798,26.041358,336.622683,281.312702,36.764023
2022-04-08,341.855313,0.000000,76.040539,5.457164,314.395441,306.467500,334.781121,304.510924,25.110967,335.674287,280.339624,35.727782
2022-04-09,340.872151,0.000000,86.907744,6.553263,314.493141,306.239915,334.027725,303.611565,24.181520,334.726312,279.366692,34.692103
2022-04-10,339.889627,0.000000,97.883030,7.643605,314.594763,306.013042,333.274225,302.711708,23.253003,333.778752,278.393920,33.656983
2022-04-11,338.907744,0.000000,109.048013,8.723134,314.700215,305.786874,332.520601,301.811336,22.325406,332.831600,277.421323,32.622423
2022-04-12,337.926502,0.000000,120.476259,9.786442,314.809404,305.561402,331.766819,300.910433,21.398712,331.884844,276.448900,31.588419
2022-04-13,336.945894,0.000000,132.227058,10.827870,314.922242,305.336616,331.012859,300.008978,20.472903,330.938470,275.476630,30.554970
2022-04-14,335.965911,0.000000,144.338857,11.841613,315.038644,305.112505,330.258693,299.106947,19.547958,329.992460,274.504482,29.522073
2022-04-15,334.986535,0.000000,156.823360,12.821840,315.158523,304.889051,329.504300,298.204316,18.623853,329.046795,273.532437,28.489727
2022-04-16,334.007743,0.000000,169.661861,13.762818,315.281795,304.666238,328.749635,297.301055,17.700560,328.101453,272.560490,27.457930
2022-04-17,333.029507,0.000000,182.805498,14.659021,315.408375,304.444043,327.994665,296.397132,16.778050,327.156407,271.588638,26.426677
2022-04-18,332.051798,0.000000,196.180403,15.505232,315.538175,304.222438,327.239349,295.492511,15.856289,326.211628,270.616868,25.395968
2022-04-19,331.074586,0.000000,209.697239,16.296615,315.671107,304.001395,326.483637,294.587157,14.935244,325.267085,269.645148,24.365798
2022-04-20,330.097850,0.000000,223.262962,17.028762,315.807079,303.780880,325.727492,293.681034,14.014880,324.322749,268.673435,23.336166
2022-04-21,329.121577,0.000000,236.791820,17.697720,315.946000,303.560860,324.970871,292.774105,13.095169,323.378592,267.701696,22.307067
2022-04-22,328.145758,0.000000,250.213044,18.299983,316.087779,303.341302,324.213750,291.866340,12.176083,322.434592,266.729918,21.278499
2022-04-23,327.170391,0.000000,263.474113,18.832473,316.232327,303.122172,323.456082,290.957711,11.257599,321.490732,265.758106,20.250457
2022-04-24,326.195478,0.000000,276.540006,19.292501,316.379558,302.903443,322.697841,290.048195,10.339701,320.546996,264.786270,19.222939
2022-04-25,325.221019,0.000000,289.389853,19.677719,316.529391,302.685087,321.938997,289.137775,9.422374,319.603375,263.814404,18.195941
2022-04-26,324.247015,0.000000,302.012693,19.986071,316.681750,302.467080,321.179522,288.226436,8.505609,318.659862,262.842494,17.169458
2022-04-27,323.273469,0.000000,314.403725,20.215744,316.836563,302.249403,320.419396,287.314169,7.589401,317.716458,261.870529,16.143488
2022-04-28,322.300382,0.000000,326.561900,20.365123,316.993763,302.032037,319.658598,286.400967,6.673746,316.773163,260.898514,15.118025
2022-04-29,321.327757,0.000000,338.489112,20.432756,317.153291,301.814967,318.897128,285.486826,5.758642,315.829981,259.926475,14.093065
2022-04-30,320.355600,0.000000,350.190789,20.417328,317.315090,301.598181,318.134956,284.571743,4.844087,314.886916,258.954441,13.068604
2022-05-01,319.383917,0.000000,1.677387,20.317643,317.479108,301.381667,317.372076,283.655716,3.930081,313.943970,257.982431,12.044638
2022-05-02,318.412718,0.000000,12.966222,20.132626,317.645298,301.165415,316.608468,282.738744,3.016624,313.001148,257.010445,11.021161
2022-05-03,317.442013,0.000000,24.083134,19.861328,317.813614,300.949416,315.844115,281.820826,2.103719,312.058453,256.038474,9.998169
2022-05-04,316.471813,0.000000,35.063631,19.502955,317.984016,300.733660,315.078998,280.901960,1.191374,311.115888,255.066520,8.975658
2022-05-05,315.502129,0.000000,45.953343,19.056895,318.156465,300.518138,314.313100,279.982143,0.279596,310.173455,254.094601,7.953621
2022-05-06,314.532968,0.000000,56.807717,18.522777,318.330922,300.302839,313.546416,279.061370,359.367965,309.231152,253.122742,6.932054
